name,gender
Kenneth Karman,m
Mike Figgis,m
Warren Hendriks,m
Michael Haneke,m
James Patterson,m
Buddy Johnson,m
Giorgio Armani,m
Greg Robbins,m
Stephen Vaughan,m
Carlos Hidalgo,m
Tommy Wirkola,m
Tyrus Wong,m
John Ottman,m
José Antonio García,m
Stephen Mirrione,m
Jacques Bufnoir,m
James McQuaide,m
William A. Horning,m
Owen Paterson,m
Mark Isham,m
Georges Delerue,m
Marc Fisichella,m
John Herzfeld,m
"Émile Gaudreault",m
Katsuhiro Ōtomo,m
William Sherak,m
George Folsey Jr.,m
George Scribner,m
Manu Gargi,m
Dick Bush,m
Ethan Coen,m
Jennifer Schwalenberg,f
Stokely Chaffin,f
Mark Lambert Bristol,m
Wendy Wanderman,f
Thierry Arbogast,m
Renny Harlin,m
Peter Young,m
Bruce Moriarty,m
Kristi Zea,f
Dennis Berardi,m
Cheryl Marion,f
Donatas Simukauskas,m
Michael Fottrell,m
Brian Richards,m
Sheldon Lettich,m
Sean Daniel,m
Toby Emmerich,m
Conrad Vernon,m
Daniel T. Dorrance,m
Miranda Bailey,f
Suzanne Crowley,f
Deborah Snyder,f
Steven Brill,m
Mark Palansky,m
Manny Perry,m
John Mollo,m
Fernand Bos,m
Philippe Le Sourd,m
Philip K. Dick,m
David Nicksay,m
David Tattersall,m
Jessica Goodwin,f
Emilio Estevez,m
Bridget Sellers,f
Oliver Stone,m
Michael Peyser,m
Alexandre Desplat,m
Louis G. Friedman,m
Walter Hamada,m
Brad Grimmett,m
Aggie Guerard Rodgers,f
Jim May,m
Monty Norman,m
David Brenner,m
Philip Elton,m
Peter Morgan,m
E. Bennett Walsh,m
Peter Chernin,m
Richard Donner,m
Steve Tisch,m
Dean R. Koontz,m
Serge Silberman,m
Erik Feig,m
Michael De Luca,m
Tom Foden,m
Jay Cassidy,m
Vittorio De Sica,m
Robert Rodriguez,m
Albert S. D'Agostino,m
Linda Lamontagne,f
Lauren Airriess,f
Adam McKay,m
Stacy Cramer,f
François Ozon,m
Steven Lisberger,m
Jack N. Reddish,m
Shep Gordon,m
Doug Kraner,m
Roberto Cappannelli,m
Richard Roberts,m
Kevin Reher,m
Victor Kempster,m
